ESTU_TIPODOCUMENTO,ESTU_GENERO,PERIODO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,PUNT_GLOBAL,edad
CC,F,20182,COLOMBIA,ATLANTICO,BARRANQUILLA,Educacion Profesional completa,No aplica,Estrato 1,3 a 4,Tres,No,Si,Si,No,Si,No,No,No,0 A 10 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,Todos o casi todos los dias,No aplica,No aplica,Mejor,30 minutos o menos,Entre 1 y 3 horas,11-20,No,COLEGIO MAYOR,MASCULINO,OFICIAL,B,S,TECNICO,SEDE SECUNDARIA,S,URBANO,MANANA,MEDELLIN,CUNDINAMARCA,162,18
CC,F,20171,COLOMBIA,SANTANDER,MEDELLIN,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 6,7 o más,Tres,No,Si,No,No,No,Si,Si,Si,11 A 50 LIBROS,Nunca,1 vez por semana,1 vez por semana,No sabe,No sabe,Mejor,30 minutos o menos,Entre 1 y 3 horas,0,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,B,S,ACADEMICO,SEDE SECUNDARIA,N,RURAL,NOCHE,BOGOTA,VALLE,339,18
CE,M,20191,COLOMBIA,CUNDINAMARCA,MEDELLIN,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 5,5 a 6,Tres,Si,Si,No,No,Si,No,No,No,51 A 100 LIBROS,3 a 5 veces por semana,Nunca,Nunca,No,No,Igual,Entre 1 y 3 horas,Más de 3 horas,11-20,Si,COLEGIO MAYOR,MIXTO,NO OFICIAL,A,N,ACADEMICO,SEDE SECUNDARIA,S,RURAL,NOCHE,BUCARAMANGA,ATLANTICO,249,25
TI,M,20172,COLOMBIA,ATLANTICO,BOGOTA,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 5,5 a 6,Cinco,No,Si,No,Si,No,Si,No,Si,MAS DE 100 LIBROS,1 vez por semana,1 vez por semana,3 a 5 veces por semana,No sabe,No,Peor,30 minutos o menos,Entre 1 y 3 horas,0,No,COLEGIO MAYOR,MIXTO,NO OFICIAL,B,N,TECNICO,SEDE SECUNDARIA,N,URBANO,NOCHE,CALI,CUNDINAMARCA,213,22
TI,M,20182,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,No aplica,Educacion Profesional incompleta,Estrato 5,7 o más,Tres,No,Si,Si,No,No,Si,Si,No,51 A 100 LIBROS,1 vez por semana,3 a 5 veces por semana,1 vez por semana,Si,No sabe,Igual,30 minutos o menos,Más de 3 horas,21-40,Si,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,B,S,ACADEMICO,SEDE PRINCIPAL,S,RURAL,MANANA,MEDELLIN,VALLE,382,28
TI,M,20192,COLOMBIA,VALLE,CALI,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 6,3 a 4,Tres,Si,Si,Si,Si,No,Si,No,Si,11 A 50 LIBROS,3 a 5 veces por semana,Todos o casi todos los dias,Nunca,No aplica,No,Mejor,30 minutos o menos,30 minutos o menos,1-10,Si,COLEGIO MAYOR,FEMENINO,NO OFICIAL,A,S,ACADEMICO,SEDE SECUNDARIA,S,RURAL,NOCHE,CALI,ANTIOQUIA,251,22
CC,M,20171,COLOMBIA,ATLANTICO,BUCARAMANGA,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 3,7 o más,Cinco,Si,No,No,No,Si,No,Si,No,11 A 50 LIBROS,3 a 5 veces por semana,Todos o casi todos los dias,3 a 5 veces por semana,No,No,Igual,Más de 3 horas,30 minutos o menos,0,No,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,B,S,TECNICO,SEDE PRINCIPAL,S,RURAL,MANANA,MEDELLIN,CUNDINAMARCA,296,27
CC,M,20172,COLOMBIA,SANTANDER,MEDELLIN,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 5,3 a 4,Tres,Si,Si,Si,No,Si,Si,Si,No,11 A 50 LIBROS,3 a 5 veces por semana,Nunca,Nunca,No,No,Peor,Más de 3 horas,30 minutos o menos,21-40,Si,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,A,S,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,TARDE,BOGOTA,CUNDINAMARCA,369,28
CE,M,20182,COLOMBIA,ANTIOQUIA,BARRANQUILLA,Educacion Profesional completa,No aplica,Estrato 4,3 a 4,Cuatro,Si,Si,No,Si,No,Si,Si,Si,0 A 10 LIBROS,Nunca,3 a 5 veces por semana,1 vez por semana,No aplica,No sabe,Mejor,Más de 3 horas,Entre 1 y 3 horas,11-20,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,A,S,TECNICO,SEDE PRINCIPAL,S,RURAL,MANANA,BARRANQUILLA,CUNDINAMARCA,226,23
CC,M,20192,COLOMBIA,SANTANDER,CALI,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 3,3 a 4,Cuatro,Si,No,No,Si,Si,Si,Si,Si,MAS DE 100 LIBROS,3 a 5 veces por semana,1 vez por semana,1 vez por semana,No,No aplica,Mejor,30 minutos o menos,Entre 1 y 3 horas,21-40,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,B,N,TECNICO,SEDE PRINCIPAL,N,RURAL,NOCHE,MEDELLIN,VALLE,337,21
CC,F,20182,COLOMBIA,CUNDINAMARCA,CALI,Educacion Profesional completa,No aplica,Estrato 3,7 o más,Dos,No,Si,No,No,Si,Si,No,Si,MAS DE 100 LIBROS,1 vez por semana,3 a 5 veces por semana,3 a 5 veces por semana,No sabe,No sabe,Mejor,30 minutos o menos,Entre 1 y 3 horas,1-10,Si,COLEGIO COMFANDI EL PRADO,MIXTO,OFICIAL,B,S,ACADEMICO,SEDE SECUNDARIA,S,RURAL,MANANA,BUCARAMANGA,ANTIOQUIA,164,25
CE,F,20181,COLOMBIA,VALLE,BARRANQUILLA,Educacion Profesional incompleta,No aplica,Estrato 5,7 o más,Tres,Si,No,No,Si,No,No,No,No,MAS DE 100 LIBROS,Nunca,1 vez por semana,1 vez por semana,No sabe,No aplica,Mejor,Más de 3 horas,Entre 1 y 3 horas,11-20,No,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,A,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,URBANO,TARDE,CALI,SANTANDER,231,19
CE,F,20181,COLOMBIA,SANTANDER,BARRANQUILLA,Educacion Profesional completa,No aplica,Estrato 6,7 o más,Dos,No,Si,Si,No,Si,Si,Si,Si,MAS DE 100 LIBROS,Nunca,3 a 5 veces por semana,Nunca,No sabe,No aplica,Peor,30 minutos o menos,Entre 1 y 3 horas,11-20,No,COLEGIO MAYOR,MIXTO,OFICIAL,A,N,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,MANANA,MEDELLIN,CUNDINAMARCA,343,22
TI,F,20181,COLOMBIA,SANTANDER,BOGOTA,No aplica,No aplica,Estrato 6,3 a 4,Dos,No,No,No,Si,No,No,No,Si,MAS DE 100 LIBROS,1 vez por semana,Nunca,Todos o casi todos los dias,Si,No,Mejor,30 minutos o menos,Más de 3 horas,11-20,No,COLEGIO MAYOR,FEMENINO,OFICIAL,A,S,ACADEMICO,SEDE PRINCIPAL,N,URBANO,MANANA,BUCARAMANGA,CUNDINAMARCA,162,22
TI,M,20171,COLOMBIA,VALLE,BOGOTA,No aplica,Educacion Profesional completa,Estrato 1,5 a 6,Cinco,Si,Si,Si,No,Si,Si,Si,Si,51 A 100 LIBROS,Nunca,Todos o casi todos los dias,1 vez por semana,No aplica,No,Igual,Entre 1 y 3 horas,Entre 1 y 3 horas,0,Si,COLEGIO MAYOR,MIXTO,NO OFICIAL,B,N,TECNICO,SEDE PRINCIPAL,S,URBANO,NOCHE,BOGOTA,ATLANTICO,310,16
CE,F,20192,COLOMBIA,VALLE,BARRANQUILLA,Educacion Profesional completa,No aplica,Estrato 1,3 a 4,Cinco,No,No,No,No,Si,No,No,Si,0 A 10 LIBROS,3 a 5 veces por semana,Todos o casi todos los dias,1 vez por semana,No,No sabe,Mejor,Entre 1 y 3 horas,Más de 3 horas,1-10,No,COLEGIO CENTRAL,MASCULINO,OFICIAL,A,N,TECNICO,SEDE PRINCIPAL,N,URBANO,NOCHE,MEDELLIN,SANTANDER,313,27
CC,F,20191,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,No aplica,Educacion Profesional incompleta,Estrato 5,5 a 6,Dos,No,No,No,No,Si,No,Si,No,0 A 10 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,1 vez por semana,Si,Si,Mejor,Más de 3 horas,Entre 1 y 3 horas,11-20,Si,COLEGIO CENTRAL,MASCULINO,NO OFICIAL,A,S,TECNICO,SEDE PRINCIPAL,S,RURAL,MANANA,BARRANQUILLA,CUNDINAMARCA,163,18
CC,F,20171,COLOMBIA,VALLE,BUCARAMANGA,Educacion Profesional completa,No aplica,Estrato 6,7 o más,Cuatro,No,Si,No,No,No,Si,Si,Si,0 A 10 LIBROS,1 vez por semana,Todos o casi todos los dias,Todos o casi todos los dias,No,No sabe,Mejor,30 minutos o menos,Entre 1 y 3 horas,0,No,COLEGIO CENTRAL,MASCULINO,OFICIAL,B,S,ACADEMICO,SEDE SECUNDARIA,S,URBANO,NOCHE,MEDELLIN,CUNDINAMARCA,158,21
CC,F,20172,COLOMBIA,ATLANTICO,MEDELLIN,Educacion Profesional completa,Educacion Profesional completa,Estrato 4,3 a 4,Tres,Si,No,Si,No,Si,No,Si,No,51 A 100 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,1 vez por semana,Si,No sabe,Mejor,Entre 1 y 3 horas,Entre 1 y 3 horas,1-10,No,COLEGIO COMFANDI EL PRADO,MASCULINO,OFICIAL,B,S,ACADEMICO,SEDE SECUNDARIA,N,RURAL,NOCHE,BUCARAMANGA,ATLANTICO,175,19
CC,M,20182,COLOMBIA,ANTIOQUIA,BUCARAMANGA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 3,3 a 4,Tres,No,No,No,Si,Si,No,Si,No,MAS DE 100 LIBROS,1 vez por semana,3 a 5 veces por semana,3 a 5 veces por semana,No sabe,No aplica,Igual,Entre 1 y 3 horas,Más de 3 horas,1-10,No,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,B,S,TECNICO,SEDE SECUNDARIA,S,URBANO,TARDE,BOGOTA,ANTIOQUIA,315,24
TI,M,20172,COLOMBIA,ATLANTICO,BOGOTA,No aplica,No aplica,Estrato 4,7 o más,Cinco,Si,No,Si,Si,No,Si,Si,Si,0 A 10 LIBROS,Nunca,Nunca,3 a 5 veces por semana,Si,Si,Mejor,Más de 3 horas,30 minutos o menos,0,No,COLEGIO MAYOR,MIXTO,OFICIAL,A,S,TECNICO,COLEGIO COMFANDI EL PRADO,S,RURAL,MANANA,MEDELLIN,ANTIOQUIA,172,25
CE,F,20192,COLOMBIA,SANTANDER,MEDELLIN,No aplica,No aplica,Estrato 6,5 a 6,Tres,Si,Si,Si,No,No,Si,Si,No,11 A 50 LIBROS,Nunca,1 vez por semana,Nunca,Si,Si,Mejor,Entre 1 y 3 horas,Entre 1 y 3 horas,21-40,Si,COLEGIO CENTRAL,MASCULINO,OFICIAL,B,S,TECNICO,COLEGIO COMFANDI EL PRADO,N,URBANO,NOCHE,BUCARAMANGA,ANTIOQUIA,258,26
CC,F,20182,COLOMBIA,VALLE,BUCARAMANGA,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 4,3 a 4,Dos,Si,Si,Si,No,No,No,No,Si,11 A 50 LIBROS,Nunca,Todos o casi todos los dias,3 a 5 veces por semana,No sabe,No,Igual,Entre 1 y 3 horas,Más de 3 horas,11-20,Si,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,B,N,TECNICO,SEDE SECUNDARIA,N,URBANO,MANANA,CALI,ANTIOQUIA,358,29
CE,F,20182,COLOMBIA,ATLANTICO,BUCARAMANGA,No aplica,Educacion Profesional incompleta,Estrato 2,7 o más,Cinco,No,Si,Si,No,Si,Si,No,Si,51 A 100 LIBROS,1 vez por semana,3 a 5 veces por semana,Nunca,Si,No aplica,Igual,Entre 1 y 3 horas,30 minutos o menos,21-40,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,A,N,ACADEMICO,SEDE SECUNDARIA,S,RURAL,MANANA,BUCARAMANGA,ATLANTICO,323,24
TI,M,20172,COLOMBIA,ANTIOQUIA,BOGOTA,No aplica,Educacion Profesional incompleta,Estrato 6,7 o más,Cuatro,Si,No,No,No,No,No,Si,No,51 A 100 LIBROS,Nunca,1 vez por semana,Todos o casi todos los dias,No,No aplica,Igual,Más de 3 horas,Más de 3 horas,0,Si,COLEGIO CENTRAL,MASCULINO,NO OFICIAL,B,S,TECNICO,SEDE SECUNDARIA,N,URBANO,NOCHE,BUCARAMANGA,ATLANTICO,192,28
TI,M,20192,COLOMBIA,SANTANDER,BOGOTA,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 6,5 a 6,Cinco,Si,No,No,Si,No,Si,No,No,0 A 10 LIBROS,Todos o casi todos los dias,Nunca,1 vez por semana,No aplica,No sabe,Mejor,30 minutos o menos,Entre 1 y 3 horas,0,No,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,A,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,RURAL,TARDE,CALI,SANTANDER,351,25
CC,M,20192,COLOMBIA,ANTIOQUIA,BARRANQUILLA,Educacion Profesional completa,No aplica,Estrato 3,7 o más,Cinco,Si,No,Si,No,No,Si,Si,Si,MAS DE 100 LIBROS,Nunca,Todos o casi todos los dias,3 a 5 veces por semana,No,No,Peor,Más de 3 horas,Más de 3 horas,1-10,Si,COLEGIO CENTRAL,MASCULINO,NO OFICIAL,B,S,TECNICO,SEDE PRINCIPAL,N,RURAL,NOCHE,MEDELLIN,SANTANDER,268,19
CE,M,20181,COLOMBIA,SANTANDER,MEDELLIN,Educacion Profesional completa,No aplica,Estrato 6,3 a 4,Cinco,Si,No,No,Si,Si,No,No,Si,51 A 100 LIBROS,Nunca,Nunca,1 vez por semana,No aplica,No sabe,Peor,Entre 1 y 3 horas,Más de 3 horas,21-40,Si,COLEGIO CENTRAL,MIXTO,NO OFICIAL,A,N,TECNICO,SEDE PRINCIPAL,S,RURAL,MANANA,CALI,ATLANTICO,254,19
TI,M,20191,COLOMBIA,ATLANTICO,MEDELLIN,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 2,3 a 4,Tres,Si,Si,Si,Si,Si,No,Si,No,MAS DE 100 LIBROS,Nunca,3 a 5 veces por semana,1 vez por semana,No,No aplica,Peor,Entre 1 y 3 horas,Más de 3 horas,21-40,Si,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,A,N,ACADEMICO,SEDE PRINCIPAL,N,RURAL,TARDE,BOGOTA,CUNDINAMARCA,195,18
TI,F,20181,COLOMBIA,VALLE,BOGOTA,No aplica,Educacion Profesional incompleta,Estrato 2,3 a 4,Cuatro,No,Si,No,Si,No,Si,No,No,MAS DE 100 LIBROS,1 vez por semana,Nunca,1 vez por semana,No sabe,Si,Peor,30 minutos o menos,Más de 3 horas,1-10,No,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,B,N,TECNICO,SEDE SECUNDARIA,S,URBANO,TARDE,BOGOTA,CUNDINAMARCA,204,24
TI,M,20181,COLOMBIA,SANTANDER,MEDELLIN,No aplica,No aplica,Estrato 6,5 a 6,Tres,Si,Si,Si,Si,No,Si,Si,No,0 A 10 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,Nunca,Si,No,Peor,Entre 1 y 3 horas,Entre 1 y 3 horas,0,No,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,B,N,TECNICO,SEDE SECUNDARIA,N,URBANO,MANANA,BOGOTA,SANTANDER,238,24
CC,M,20191,COLOMBIA,VALLE,MEDELLIN,Educacion Profesional completa,No aplica,Estrato 5,5 a 6,Cinco,No,Si,No,Si,Si,Si,No,No,MAS DE 100 LIBROS,3 a 5 veces por semana,1 vez por semana,Nunca,Si,No sabe,Peor,Entre 1 y 3 horas,Más de 3 horas,1-10,Si,COLEGIO CENTRAL,FEMENINO,OFICIAL,B,S,TECNICO,SEDE SECUNDARIA,N,RURAL,MANANA,BUCARAMANGA,ATLANTICO,217,24
CC,F,20192,COLOMBIA,SANTANDER,BOGOTA,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 2,5 a 6,Dos,Si,No,Si,Si,No,Si,No,No,0 A 10 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,1 vez por semana,No sabe,No aplica,Peor,30 minutos o menos,Entre 1 y 3 horas,21-40,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,B,S,TECNICO,SEDE PRINCIPAL,N,RURAL,TARDE,BARRANQUILLA,SANTANDER,366,25
CC,M,20191,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,Educacion Profesional incompleta,No aplica,Estrato 1,3 a 4,Cinco,No,No,Si,Si,Si,Si,Si,No,MAS DE 100 LIBROS,Todos o casi todos los dias,3 a 5 veces por semana,Todos o casi todos los dias,No aplica,No sabe,Peor,Entre 1 y 3 horas,Más de 3 horas,21-40,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,B,N,TECNICO,SEDE PRINCIPAL,S,URBANO,NOCHE,BARRANQUILLA,CUNDINAMARCA,301,22
TI,M,20171,COLOMBIA,SANTANDER,BUCARAMANGA,No aplica,Educacion Profesional completa,Estrato 3,5 a 6,Cuatro,Si,No,Si,No,No,Si,No,No,51 A 100 LIBROS,1 vez por semana,Nunca,3 a 5 veces por semana,No sabe,No,Peor,30 minutos o menos,Entre 1 y 3 horas,0,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,B,S,TECNICO,COLEGIO COMFANDI EL PRADO,N,RURAL,NOCHE,MEDELLIN,VALLE,208,21
CC,M,20181,COLOMBIA,ANTIOQUIA,CALI,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 1,5 a 6,Tres,No,Si,No,No,Si,Si,Si,Si,MAS DE 100 LIBROS,Nunca,Todos o casi todos los dias,Nunca,No sabe,No,Peor,30 minutos o menos,Más de 3 horas,0,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,B,N,TECNICO,SEDE SECUNDARIA,N,RURAL,NOCHE,BUCARAMANGA,SANTANDER,240,16
CC,F,20172,COLOMBIA,VALLE,CALI,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 2,5 a 6,Tres,No,Si,Si,No,No,No,Si,No,MAS DE 100 LIBROS,3 a 5 veces por semana,1 vez por semana,3 a 5 veces por semana,No aplica,Si,Igual,Entre 1 y 3 horas,30 minutos o menos,21-40,Si,COLEGIO COMFANDI EL PRADO,MIXTO,OFICIAL,A,N,ACADEMICO,SEDE SECUNDARIA,S,URBANO,MANANA,MEDELLIN,CUNDINAMARCA,378,17
CC,M,20181,COLOMBIA,ATLANTICO,BOGOTA,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 2,3 a 4,Cinco,Si,No,Si,Si,No,No,Si,No,0 A 10 LIBROS,3 a 5 veces por semana,Nunca,1 vez por semana,No,No aplica,Peor,Más de 3 horas,30 minutos o menos,11-20,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,A,N,TECNICO,SEDE SECUNDARIA,N,URBANO,NOCHE,BUCARAMANGA,ATLANTICO,333,27
TI,F,20181,COLOMBIA,ANTIOQUIA,CALI,Educacion Profesional incompleta,Educacion Profesional incompleta,Estrato 6,3 a 4,Cinco,Si,Si,No,Si,Si,Si,Si,Si,51 A 100 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,Nunca,No,Si,Igual,Más de 3 horas,30 minutos o menos,1-10,Si,COLEGIO CENTRAL,MASCULINO,OFICIAL,A,N,ACADEMICO,SEDE PRINCIPAL,N,URBANO,TARDE,MEDELLIN,CUNDINAMARCA,194,29
CC,M,20171,COLOMBIA,SANTANDER,MEDELLIN,No aplica,Educacion Profesional incompleta,Estrato 6,5 a 6,Cinco,Si,Si,Si,Si,Si,Si,Si,Si,11 A 50 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,Nunca,No sabe,No,Mejor,Más de 3 horas,30 minutos o menos,11-20,Si,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,B,N,TECNICO,COLEGIO COMFANDI EL PRADO,N,RURAL,MANANA,BARRANQUILLA,ATLANTICO,245,24
CC,M,20191,COLOMBIA,CUNDINAMARCA,BUCARAMANGA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 3,7 o más,Dos,Si,Si,No,Si,Si,Si,Si,No,0 A 10 LIBROS,3 a 5 veces por semana,Nunca,1 vez por semana,Si,No,Peor,30 minutos o menos,Más de 3 horas,11-20,Si,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,B,S,TECNICO,COLEGIO COMFANDI EL PRADO,S,URBANO,TARDE,BOGOTA,ANTIOQUIA,261,19
TI,F,20192,COLOMBIA,ATLANTICO,CALI,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 1,7 o más,Cuatro,Si,No,Si,Si,No,No,Si,Si,51 A 100 LIBROS,3 a 5 veces por semana,1 vez por semana,Todos o casi todos los dias,No sabe,No sabe,Peor,Más de 3 horas,Entre 1 y 3 horas,11-20,Si,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,A,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,RURAL,TARDE,BARRANQUILLA,VALLE,327,20
CE,M,20182,COLOMBIA,VALLE,MEDELLIN,No aplica,Educacion Profesional completa,Estrato 6,7 o más,Dos,No,No,No,No,No,Si,No,No,0 A 10 LIBROS,Nunca,3 a 5 veces por semana,Todos o casi todos los dias,No sabe,No,Igual,Entre 1 y 3 horas,Más de 3 horas,11-20,Si,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,B,S,ACADEMICO,SEDE SECUNDARIA,S,RURAL,TARDE,BOGOTA,VALLE,179,26
CE,M,20192,COLOMBIA,CUNDINAMARCA,BUCARAMANGA,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 4,7 o más,Cinco,Si,No,No,Si,Si,Si,No,Si,0 A 10 LIBROS,Nunca,Nunca,3 a 5 veces por semana,No,No,Peor,30 minutos o menos,Entre 1 y 3 horas,0,No,COLEGIO CENTRAL,FEMENINO,OFICIAL,A,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,RURAL,TARDE,BARRANQUILLA,ANTIOQUIA,373,25
TI,M,20182,COLOMBIA,SANTANDER,MEDELLIN,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 1,5 a 6,Dos,No,No,Si,Si,No,No,Si,Si,0 A 10 LIBROS,3 a 5 veces por semana,Nunca,3 a 5 veces por semana,No aplica,Si,Mejor,Más de 3 horas,Más de 3 horas,1-10,No,COLEGIO CENTRAL,MIXTO,NO OFICIAL,B,S,TECNICO,COLEGIO COMFANDI EL PRADO,N,RURAL,MANANA,BUCARAMANGA,ANTIOQUIA,153,17
TI,M,20182,COLOMBIA,ANTIOQUIA,CALI,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 6,5 a 6,Dos,Si,No,Si,No,Si,No,Si,No,11 A 50 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,Todos o casi todos los dias,Si,No sabe,Igual,30 minutos o menos,30 minutos o menos,1-10,No,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,A,S,TECNICO,SEDE SECUNDARIA,N,URBANO,MANANA,BARRANQUILLA,CUNDINAMARCA,297,29
TI,F,20171,COLOMBIA,ATLANTICO,BUCARAMANGA,Educacion Profesional completa,No aplica,Estrato 2,5 a 6,Tres,No,Si,No,Si,No,No,No,No,MAS DE 100 LIBROS,3 a 5 veces por semana,3 a 5 veces por semana,Todos o casi todos los dias,No,No,Peor,30 minutos o menos,Más de 3 horas,0,No,COLEGIO MAYOR,MIXTO,NO OFICIAL,B,S,TECNICO,SEDE SECUNDARIA,S,RURAL,MANANA,MEDELLIN,ATLANTICO,383,18
CE,F,20182,COLOMBIA,ANTIOQUIA,BUCARAMANGA,No aplica,No aplica,Estrato 5,3 a 4,Cinco,Si,Si,Si,Si,Si,No,Si,Si,0 A 10 LIBROS,Todos o casi todos los dias,Nunca,3 a 5 veces por semana,No sabe,Si,Mejor,Más de 3 horas,30 minutos o menos,1-10,Si,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,B,N,ACADEMICO,SEDE PRINCIPAL,N,RURAL,NOCHE,BARRANQUILLA,SANTANDER,238,23
CE,M,20182,COLOMBIA,SANTANDER,CALI,Educacion Profesional completa,Educacion Profesional completa,Estrato 5,7 o más,Tres,Si,No,No,Si,No,Si,Si,No,51 A 100 LIBROS,Nunca,1 vez por semana,1 vez por semana,Si,No aplica,Igual,Más de 3 horas,Más de 3 horas,0,No,COLEGIO CENTRAL,FEMENINO,NO OFICIAL,A,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,URBANO,NOCHE,MEDELLIN,VALLE,380,28
TI,M,20182,COLOMBIA,ANTIOQUIA,BARRANQUILLA,Educacion Profesional incompleta,No aplica,Estrato 1,5 a 6,Tres,Si,Si,Si,No,Si,No,No,Si,51 A 100 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,Nunca,No sabe,No sabe,Mejor,Más de 3 horas,Entre 1 y 3 horas,0,No,COLEGIO COMFANDI EL PRADO,FEMENINO,OFICIAL,B,S,TECNICO,SEDE SECUNDARIA,N,RURAL,NOCHE,BOGOTA,CUNDINAMARCA,230,17
CC,M,20172,COLOMBIA,CUNDINAMARCA,MEDELLIN,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 2,3 a 4,Cinco,Si,Si,Si,Si,No,No,No,No,0 A 10 LIBROS,3 a 5 veces por semana,Todos o casi todos los dias,Todos o casi todos los dias,No sabe,No,Peor,Más de 3 horas,30 minutos o menos,0,No,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,A,N,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,URBANO,MANANA,MEDELLIN,ATLANTICO,165,17
